case_id,customer_message,conversation_context,reply,trivial_reply,retrieval_only_reply,retrieved_case_1,retrieved_case_2,retrieved_case_3,human_score,human_notes
2,@SpotifyCares I shall drop you a DM in a bit. Seems to be happening to others though looking online and the Spotify forum thingy!,"[CUSTOMER] Yo @115888 , can you sort out your app/programme for the windows creators updates. Every time it loads it freezes my laptop since update :(
[SPOTIFY] @475306 Hi Anna! That doesn't sound good. What Windows and Spotify versions are you using? Can you send us a bit more info on what's happening? /AU
[CUSTOMER] @SpotifyCares I shall drop you a DM in a bit. Seems to be happening to others though looking online and the Spotify forum thingy!","Hi! Thanks for letting us know. Could you share which device and operating system you’re using, along with your current Spotify version? In the meantime, try clearing the app cache (or reinstalling on mobile) and restarting your device. That often resolves widespread playback hiccups. Let us know how it goes!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@116887 We understand. Can you check if the steps here do the trick: https://t.co/cxGHt0bCR8? /PL,64,38118,4353,,
3,"@SpotifyCares This is real off point, not only does it look atrocious, the app doesn’t even work properly. Will be switching to Apple Music on Tuesday morning if there is no update by then.","[CUSTOMER] @115888 when y’all dropping that iPhone X update?
[SPOTIFY] @483022 Hey! We don't have anything to share yet, but we'll be sure to post updates on this. Give us a shout if you need anything else /CO
[CUSTOMER] @SpotifyCares This is real off point, not only does it look atrocious, the app doesn’t even work properly. Will be switching to Apple Music on Tuesday morning if there is no update by then.","Hi there! I’m sorry to hear the app isn’t working properly. Could you let me know what device and OS version you’re using, and if you’ve tried restarting the app or your phone? I’ll do my best to help you get it back up and running.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@587375 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /NQ,26927,40963,24449,,
4,@SpotifyCares Okay. Thankyou.,"[CUSTOMER] Cara upgrade spotify ke premium gimana caranya ya?
Di account ga ada pilihan. 🙄 https://t.co/M2oPPhuwY6
[SPOTIFY] @160026 1: Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M. If you'd...
[CUSTOMER] @SpotifyCares Thankyou. My problem solved. 👌🏻
[SPOTIFY] @160026 Glad to hear everything's sorted out! If you need anything else, you know where to find us 🙂 /DB
[CUSTOMER] @SpotifyCares Okay. Thankyou.","Glad everything’s sorted out! If you need anything else, just let us know. Enjoy your music!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@514280 No worries! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /RB,20381,18024,14747,,
12,@SpotifyCares Definatly,"[CUSTOMER] @115888 why homedepot tellin me im gonna be listening to musicfor 30mins adfree but 2 songs later im listining about some mf torque wrenchs
[SPOTIFY] @395005 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /CP
[CUSTOMER] @SpotifyCares No
[SPOTIFY] @395005 Thanks. Did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /CP
[CUSTOMER] @SpotifyCares Definatly","Hey! It sounds like the 30‑minute ad‑free period didn’t stick. Usually that happens if the video ad isn’t watched in full or if the app crashes during the offer. Could you try watching the ad again from start to finish and let me know if the ad‑free time starts? If it still resets, we’ll look into it further.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@682359 Hey! We just replied to your DM with more info. Check it out, we'll continue helping you there 🙂 /BH",33837,1785,25472,,
14,@SpotifyCares Hi! Janella P. From Spotify solved my problem! Please thank her for me! And thank you for replying so quickly!,"[CUSTOMER] @SpotifyCares hello! Some albums won’t play when I click on the song I want. Please help!
[SPOTIFY] @554403 Hey Cynthia! The cavalry's here. Can you fire over the device's make/model, operating system, and the Spotify version you're using? /KB
[CUSTOMER] @SpotifyCares Hi! Janella P. From Spotify solved my problem! Please thank her for me! And thank you for replying so quickly!","@SpotifyCares Thanks for the update! Glad to hear Janella was able to help. If you need anything else, just let us know!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@699801 No worries! Just give us a shout if you have other questions. We're... https://t.co/zOXI69QSqg /JU,34787,32453,29,,
18,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.","[CUSTOMER] @SpotifyCares are you aware of the iPhone X / iOS11 bug wherein if a video plays in another app it stops all audio coming from your app? Have to restart each time.
[SPOTIFY] @135367 Hi there. Just to clarify, do you need to restart the app to continue your music, or do you just resume the playback? /LM
[CUSTOMER] @SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.","It sounds like the app is stuck in a paused state. A quick reinstall often clears this issue. Uninstall Spotify, then download the latest version from the App Store and try playing again. If the problem persists, let us know your iOS version and Spotify build so we can dig deeper.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@156645 Thanks. Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. See if that helps /RH,33991,36973,4097,,
19,@SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP?,"[CUSTOMER] @SpotifyCares Look, I know the geoip databases get @112074 wrong, but you KNOW MY BILLING ADDRESS. Stop using guesswork to market to me and USE MY PROVIDED INFORMATION. I have a right to rectification that you're making impossible. #DataProtection #GDPR https://t.co/OgDINBn6Uk
[SPOTIFY] @496327 Hi Matthew! Sorry to hear that. We'll help you out, just send us more info regarding your concern over DM and we'll start from there /SF https://t.co/ldFdZRiNAt
[CUSTOMER] @SpotifyCares What more info do you need? The original tweet had it all.
[SPOTIFY] @496327 Got it. We need you to send us your IP address, email address and other info that we prefer you send us over DM. We'll be waiting /SF
[CUSTOMER] @SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP?","Hi Matthew, thanks for reaching out. To help us verify your address and correct the location data, could you please share your email address and the billing address you have on file? Once we have that, we’ll review the discrepancy and make sure your account reflects the correct information. Let us know if you need any assistance with that. /SF",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@315759 Got it! Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon! /MX,9830,11078,16843,,
25,"@SpotifyCares I try to shuffle in playlist and it really doesn't play randomly, plays the same artist almost continuously. Don't know what connect is","[CUSTOMER] @115888 what's the deal with the weak random in playlists? Keeps playing the same band consecutively - this has been happening forever now!
[SPOTIFY] @533903 Hey! We’ve made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /RI
[CUSTOMER] @SpotifyCares It's a little out dated
[SPOTIFY] @533903 To clarify, does this happen when you're using Shuffle with Connect? /YM
[CUSTOMER] @SpotifyCares I try to shuffle in playlist and it really doesn't play randomly, plays the same artist almost continuously. Don't know what connect is","Hey! It sounds like the shuffle algorithm isn’t mixing the tracks as expected. This can happen when you’re using Connect or if the playlist has a lot of songs from the same artist. Could you let us know which device you’re playing from (desktop, mobile, web) and the version of the Spotify app you’re using? That’ll help us look into it and get you a better shuffle experience.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@770620 Hey there! The cavalry's here. Can you DM us your account's email address? We'll see what we can suggest /KB https://t.co/ldFdZRiNAt,39115,4787,11649,,
44,"@SpotifyCares Tried again.  Closed.  Opened.

No update.

Signed out.  Signed back in.

as I stated no big deal...just a bit annoying.

Thanks.","[SPOTIFY] @266345 Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH
[CUSTOMER] @SpotifyCares Thanks.  

Using a Mac notebook.  IOs Sierra 10.12.6 and Not sure where to find the Spotify version but did find this 1.0.66.478.g1296534d
[SPOTIFY] @266345 Thanks. Does restarting your device and relaunching the app help? /TC
[CUSTOMER] @SpotifyCares It did not. But shall try again

Thank you.
[SPOTIFY] @266345 No worries. Keep us in the loop /TC
[CUSTOMER] @SpotifyCares Tried again.  Closed.  Opened.

No update.

Signed out.  Signed back in.

as I stated no big deal...just a bit annoying.

Thanks.","Hey there! I’m sorry you’re still having trouble. Let’s try a couple more steps: 1️⃣ Completely uninstall the Spotify app from your Mac, then download the latest version from the official website. 2️⃣ After reinstalling, log in and try playing a track again. If the issue persists, let me know if you see any error messages or if the app crashes. We’ll keep digging until it’s resolved. Thanks for your patience!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@449616 You're welcome! If you ever need us again, know that we're always... https://t.co/zOXI69QSqg 🙂 /AR",17389,16164,35597,,
47,"@SpotifyCares and it shows its stopped at the song, not pausing or so That happens to often and i see other too have the problem in the @115888 community","[CUSTOMER] it ain't a feature that a player is playing the songs without stopping suddenly while playing on the go (3/3) g it fixd @115888 wh UWP app!
[SPOTIFY] @556105 Hi there! Can you let us know what's happening exactly? We're here to help out /GK
[CUSTOMER] @SpotifyCares and it shows its stopped at the song, not pausing or so That happens to often and i see other too have the problem in the @115888 community","Hi! It sounds like the player is stopping unexpectedly. Could you let us know which device and app version you’re using? Also, if you can share a screenshot of the error or the exact moment it stops, that would help us troubleshoot further. Thanks!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@182416 Thanks! Can you check if restarting your router helps? Can you also try using a 3G/4G connection to see if it will do the same thing? /PL,3063,16112,21060,,
52,@SpotifyCares Yes. I tried registering for unidays found the institute but it said they weren't supported.,"[CUSTOMER] @115888 I'm a student with an NUS card but can't register for your student premium? Unsupported by @260711  Wtf? Poor form.
[SPOTIFY] @294100 Hey Ruth! NUS is currently unavailable as a discount option. We’d recommend using UNiDAYS at https://t.co/ZCWeItTUhj /PL
[CUSTOMER] @SpotifyCares @260711 don't support my provider so can't use them. Am I just meant to wait until they sort that out?
[SPOTIFY] @294100 Just to make sure that we're on the same page, are you pertaining to the institution you're currently enrolled in? /ME
[CUSTOMER] @SpotifyCares Yes. I tried registering for unidays found the institute but it said they weren't supported.","Hi! I’m sorry you’re having trouble with the student discount. Unfortunately, UNiDAYS isn’t currently supported for your institution, so the discount can’t be applied right now. We’re working on expanding our partner list, and you’ll be able to use the discount once it’s available. In the meantime, you can still enjoy Spotify Premium at the regular price or explore other student‑friendly offers. If you have any other questions, feel free to let me know!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@450862 Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt,17571,1163,39514,,
57,@SpotifyCares is this right https://t.co/xOQEGoNN6M,"[CUSTOMER] hello @115888 there is a typo this song should be called “bit part” not “big part” thank you in advance signed tim https://t.co/itPdeDTW0A
[CUSTOMER] @115888 cc @SpotifyCares please i just want this matter resolved
[SPOTIFY] @700528 Hey Tim, thanks for reporting! Can you send us the track's URI? We'll have a look /LO
[CUSTOMER] @SpotifyCares is this right https://t.co/xOQEGoNN6M",@115888 Thanks for sharing the link. Could you let us know what you’re looking for in that track? We’ll check it out and get back to you shortly.,Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@380214 Hey, we can see how that’d be useful! You can vote for the official idea here: https://t.co/YSHYSPDR4z /RB",13644,13951,16044,,
62,"@SpotifyCares PC, Windows 10, v. 1.0.68.407","[CUSTOMER] @SpotifyCares Getting error message ""Can't play song"" for everything. Tried all the step in the troubleshooting website. Any advice?
[SPOTIFY] @808368 Hi, help's here! Can you let us know your device, operating system, and Spotify version? We'll be waiting for your reply /MG
[CUSTOMER] @SpotifyCares PC, Windows 10, v. 1.0.68.407","Thanks for the details. Could you try logging out of the app, restarting your PC, and then logging back in? Let us know if that resolves the “Can’t play song” error.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@802394 Got it. Just to check, does logging out then logging back in help at all? /PB",41252,5182,13142,,
63,@SpotifyCares Should you not give you members a better deal my son loves listening to his music and pays his £9-99 you should try and be fair with everyone,"[CUSTOMER] 3 months of Premium is just 99p. Play music offline wherever you go. https://t.co/DIutoPi5Q5
[CUSTOMER] @115888 Yes my son s paying you £9-99 a month why don’t you give something back to your loyal costumers he will to say anything to you as he as Asperger and loves his music you should contact all
[SPOTIFY] @800778 Hey Laura! Right now, this offer's for new subscribers only, but we'll make sure your feedback is passed on to the relevant folks. Stay tuned for more deals for existing Premium subscribers 🙂 /AY
[CUSTOMER] @SpotifyCares Should you not give you members a better deal my son loves listening to his music and pays his £9-99 you should try and be fair with everyone","Hi there! I understand you’re looking for a better deal for your son’s Premium subscription. We’re always working to offer great value to our loyal users. While I can’t change the current pricing, I’ll pass your feedback along to the team that handles promotions and pricing. In the meantime, if you have any other questions about your subscription or need help with anything else, just let me know!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@789140 Got it! Could you DM us your account's username and email address? We'll take a look backstage /DF https://t.co/ldFdZRiNAt,40442,2380,36778,,
